d,Name,Author,Sec,Tier,Screenshot,X,Y,Z,XP,Res,Trees,Surveyor,Steam name,Aluminium,Bronze,Copper,Gold,Iron,Lead,Nickel,Silver,Steel,Tin,Titanium,Tungsten
Z4_14,Monastery,Yoshihito,Z4,1,https://puu.sh/wsZug/b005d916e6.png,-6300,0,-13400,2,,,Jerodar,,,,,,,,,,,,,
Z4_15,Ringed Peak,Uncommon,Z4,1,https://puu.sh/wt0ri/c9c28d811d.png,-4000,500,-13500,1,,,Jerodar,,,,,,,,,,,,,
Z4_16,Hidden Village,Fishface,Z4,1,https://puu.sh/wsTEs/4ddf13489f.png,-9400,0,-14200,1,,,Jerodar,,,,,,,,,,,,,
Z4_17,Burrow,Kestril,Z4,1,https://puu.sh/wsTCO/11e79070ad.png,-8900,500,-15000,2,,,Jerodar,,,,,,,,,,,,,
Z4_18,Green Plateau,Narciciss,Z4,1,https://puu.sh/wsTC1/c878e3dd23.png,-6700,0,-15000,1,,,Jerodar,,,,,,,,,,,,,
Z4_19,Donut,Huntanian,Z4,1,https://puu.sh/wt087/a9a4fcf8bd.png,-5400,0,-15400,1,,,Jerodar,,,,,,,,,,,,,
Z4_20,Pink Valley,CaptainNova,Z4,1,https://puu.sh/wsAOC/aca0a9030d.png,-9800,-500,-16400,2,,,Jerodar,,,,,,,,,,,,,
Z4_21,Cherry Hills,Senpai,Z4,1,https://puu.sh/wt0dy/0497aa0060.png,-6500,500,-16300,2,,,Jerodar,,,,,,,,,,,,,
Z4_22,Peak,DeathByWafflez,Z4,1,https://puu.sh/wsBcd/c4d35e5382.png,-9200,-500,-17500,2,,,Jerodar,,,,,,,,,,,,,
Z4_23,Rock Forest,CrocBain,Z4,1,https://puu.sh/wsCLm/47e46810f0.png,-7600,0,-17000,1,,,Jerodar,,,,,,,,,,,,,
Z5_1,Plaza,That Pixel Kid,Z5,2,https://puu.sh/wt7ka/4f6fe9274a.png,-1400,-500,-14100,5,,,Jerodar,,,,,,,,,,,,,
Z5_2,Glider Race,Unknown,Z5,2,https://puu.sh/wt7Ii/eeeb1d1baf.png,500,500,-13700,2,,,Jerodar,,,,,,,,,,,,,
Z5_3,Windmill,CATman4L,Z5,2,https://i.imgur.com/hmCDAqM.png,1100,-500,-14800,1,,,Jerodar,,,,,,,,,,,,,
Z5_4,Hex,OddNova,Z5,2,https://puu.sh/wt6KQ/d091851e11.png,-1800,500,-15400,2,,,Jerodar,,,,,,,,,,,,,
Z5_5,Volcano,Jackchallenge,Z5,2,https://puu.sh/wt2CY/5cdb61a3a7.png,-3400,-500,-16100,5,,,Jerodar,,,,,,,,,,,,,
Z5_6,Loading Dock,catfishmeme,Z5,2,https://puu.sh/wt43J/6975bd94fd.png,-5200,-500,-17300,2,,,Jerodar,,,,,,,,,,,,,
Z5_7,Commune,VonKlutch,Z5,2,https://puu.sh/wt4om/3764e2c053.png,-2800,-500,-17000,3,,,Jerodar,,,,,,,,,,,,,
Z5_8,Alps,eddie price,Z5,2,https://puu.sh/wt5mo/e053481071.png,-1500,500,-17600,2,,,Jerodar,,,,,,,,,,,,,
Z5_9,Arc,Kalikars,Z5,2,https://puu.sh/wt8YD/e4219acd1c.png,1300,-500,-17300,3,,,Jerodar,,,,,,,,,,,,,
Z6_1,Rocky Hills,Phoenix009,Z6,1,https://i.imgur.com/QBK1hpk.png,3500,-500,-11900,1,,Oak,Jerodar,,,,,,,,,,,,,
Z6_2,Ripple Hills,Kranot,Z6,1,https://puu.sh/wtLqs/3955278dda.png,6900,0,-11900,2,,,Jerodar,,,,,,,,,,,,,
Z6_3,Fall Trees,Tjeane13,Z6,1,https://puu.sh/wtatM/5e7cc21936.png,2000,500,-12900,2,,,Jerodar,,,,,,,,,,,,,
Z6_4,Prison,kittco36,Z6,1,https://puu.sh/wtbCT/931d9e4407.png,5000,500,-12700,4,,,Jerodar,,,,,,,,,,,,,
Z6_5,Storm Bluff,Narciciss,Z6,1,https://puu.sh/wtnUF/6a7f7ae76a.png,3300,-500,-13600,4,,,Jerodar,,,,,,,,,,,,,
Z6_6,Highway,Unknown,Z6,1,https://puu.sh/wtLf9/e8f25ed411.png,6800,500,-13300,2,,,Jerodar,,,,,,,,,,,,,
Z6_7,Valley Bridge,[H] MeisterKeen,Z6,1,https://puu.sh/wtKJY/dd269bfce2.png,4400,500,-14300,2,,,Jerodar,,,,,,,,,,,,,
Z6_8,Squarestones,Eddie price,Z6,1,https://puu.sh/wto1I/28de7431b1.png,4000,-500,-15100,2,,,Jerodar,,,,,,,,,,,,,
Z6_9,Pilgrim Peak,Skurrai,Z6,1,https://puu.sh/wtL5U/89a587275f.png,5700,-500,-14700,1,,,Jerodar,,,,,,,,,,,,,
Z6_10,Melting Hills,Archriel,Z6,1,https://puu.sh/wtoT1/cb99186b54.png,3400,500,-16300,2,,,Jerodar,,,,,,,,,,,,,
Z6_11,Pasture,Narciciss,Z6,1,https://puu.sh/wtqSb/0d3fe646d8.png,6600,0,-15600,3,,,Jerodar,,,,,,,,,,,,,
Z6_12,Alien,OddNova,Z6,1,https://puu.sh/wtq6K/242f5ef8f7.png,4200,-500,-17300,1,,,Jerodar,,,,,,,,,,,,,
Z6_13,Beet,chupapanza,Z6,1,https://puu.sh/wtqcj/595aa0bdd0.png,5700,500,-17300,2,,,Jerodar,,,,,,,,,,,,,
Z6_14,Wreckage,Yari,Z6,1,https://i.imgur.com/iVWgF1C.png,7300,0,-17100,1,,,Jerodar,,,,,,,,,,,,,
